self_inc,site,latitude_N,plant_id,umbel_angle_deg,flower_number,face_diam_mm,tube_length_mm
SI,CMGA,34.22204,CMGA.2010.1,140,18,11.24,13.08
SI,CMGA,34.22204,CMGA.2010.10,90,8,10.51,12.315
SI,CMGA,34.22204,CMGA.2010.11,120,18,11.14,13.88
SI,CMGA,34.22204,CMGA.2010.12,180,22,10.49,15.585
SI,CMGA,34.22204,CMGA.2010.13,130,21,10.76,14.615
SI,CMGA,34.22204,CMGA.2010.14,95,11,11.02,15.965
SI,CMGA,34.22204,CMGA.2010.15,105,10,9.74,13.265
SI,CMGA,34.22204,CMGA.2010.16,130,16,9.675,12.42
SI,CMGA,34.22204,CMGA.2010.17,110,14,9.2,12.855
SI,CMGA,34.22204,CMGA.2010.18,115,12,11.305,12.65
SI,CMGA,34.22204,CMGA.2010.19,140,18,11.105,13.495
SI,CMGA,34.22204,CMGA.2010.2,152,20,12.27,15.26
SI,CMGA,34.22204,CMGA.2010.20,110,13,9.1,13.96
SI,CMGA,34.22204,CMGA.2010.21,110,13,11.045,13.225
SI,CMGA,34.22204,CMGA.2010.22,100,11,5.39,10.73
SI,CMGA,34.22204,CMGA.2010.23,125,15,9.515,11.945
SI,CMGA,34.22204,CMGA.2010.24,70,6,9.915,13.675
SI,CMGA,34.22204,CMGA.2010.25,130,14,10.765,13.21
SI,CMGA,34.22204,CMGA.2010.26,180,13,14.315,13.945
SI,CMGA,34.22204,CMGA.2010.27,120,16,9.52,14.33
SI,CMGA,34.22204,CMGA.2010.28,100,9,9.285,14.42
SI,CMGA,34.22204,CMGA.2010.29,123,19,9.875,11.86
SI,CMGA,34.22204,CMGA.2010.3,155,20,11.555,14.935
SI,CMGA,34.22204,CMGA.2010.30,170,18,10.99,13.075
SI,CMGA,34.22204,CMGA.2010.4,151,18,11.715,14.755
SI,CMGA,34.22204,CMGA.2010.5,139,18,9.75,14.565
SI,CMGA,34.22204,CMGA.2010.6,225,18,10.48,17.09
SI,CMGA,34.22204,CMGA.2010.7,120,18,11.95,15.49
SI,CMGA,34.22204,CMGA.2010.8,148,18,10.53,14.64
SI,CMGA,34.22204,CMGA.2010.9,150,12,11.87,13.985
SI,CMGA,34.22204,CMGA.2011.31,NA,15,11.43,14.995
SI,CMGA,34.22204,CMGA.2011.32,140,16,11.195,15.295
SI,CMGA,34.22204,CMGA.2011.33,90,12,8.3,11.56
SI,CMGA,34.22204,CMGA.2011.34,130,19,9.195,14.73
SI,CMGA,34.22204,CMGA.2011.35,110,15,10.805,13.66
SI,CMGA,34.22204,CMGA.2011.36,145,21,11.305,14.43
SI,CMGA,34.22204,CMGA.2011.37,110,15,8.355,13.125
SI,CMGA,34.22204,CMGA.2011.38,120,15,12.52,14.48
SI,CMGA,34.22204,CMGA.2011.39,70,11,10.255,15.19
SI,CMGA,34.22204,CMGA.2011.40,130,20,11.59,13.455
SI,CMGA,34.22204,CMGA.2011.41,140,18,10.66,13.34
SI,CMGA,34.22204,CMGA.2011.42,100,10,10.425,13.845
SI,CMGA,34.22204,CMGA.2011.43,100,13,10.78,13.395
SI,CMGA,34.22204,CMGA.2011.44,120,18,9.4,13.325
SI,CMGA,34.22204,CMGA.2011.45,140,15,10.165,12.85
SI,CMGA,34.22204,CMGA.2011.46,140,13,10.46,15.45
SI,CMGA,34.22204,CMGA.2011.47,90,13,9.215,12.585
SI,CMGA,34.22204,CMGA.2011.48,130,21,10.105,13.68
SI,CMGA,34.22204,CMGA.2011.49,120,18,13.785,11.84
SI,CMGA,34.22204,CMGA.2011.50,120,15,11.745,11.6
SI,CMGA,34.22204,CMGA.2011.51,140,19,14.45,14.18
SI,CMGA,34.22204,CMGA.2011.52,110,18,12.83,12.155
SI,CMGA,34.22204,CMGA.2011.53,120,17,12.11,11.545
SI,CMGA,34.22204,CMGA.2011.54,110,14,10.515,12.77
SI,CMGA,34.22204,CMGA.2011.55,110,16,10.49,15.09
SI,CMGA,34.22204,CMGA.2011.56,120,16,11.245,14.7225
SI,CMGA,34.22204,CMGA.2011.57,100,11,12.6675,11.645
SI,CMGA,34.22204,CMGA.2011.58,120,17,10.5425,13.865
SI,CMGA,34.22204,CMGA.2011.59,110,16,11.3125,14.64
SI,CMGA,34.22204,CMGA.2011.60,110,14,10.235,12.075
SI,CMGA,34.22204,CMGA.2011.61,110,19,10.672,14.45475
SI,CMGA,34.22204,CMGA.2011.62,120,12,11.15375,12.871
